customerNumber,customerName,contactLastName,contactFirstName,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit
20001,Anderson Industries,Anderson,Samantha,+1 (295) 423-4811,8936 Elm Terr,,Dallas,WV,23434,USA,1401,18000
20002,Smith & Hughes Services,Smith,Kimberly,+49 856 55561,1675 Elm Way,Rm 353,San Jose,IN,54118,USA,1619,87900
20003,Rodriguez Solutions,Rodriguez,Alexander,+61 4 7065 6820,1655 Garden Rd,,Barcelona,,40512,Spain,1188,47500
20004,Lee Shop,Lee,Ashley,+61 8 5386 2084,5314 Cedar Dr,,Mesa,IA,99733,USA,1188,124200
20005,Collins & King Corp.,Collins,Samuel,+33 3 75 73 21 16,9578 Creek Terr,,Mesa,OH,44438,USA,1702,239500
20006,Capital Auto Co.,Ortiz,Cynthia,+49 542 808975,7434 Main Loop,,Hamilton,MB,X5D 4P2,Canada,1166,44800
20007,Lee Ventures,Lee,Maria,(287) 949-8962,5039 Valley St,Ste 970,Los Angeles,DE,57576,USA,1625,31300
20008,Diaz & Cooper Enterprises,Diaz,Nicole,+61 2 4770 4608,7178 Willow Ct,Apt 66,Kobe,,787-7118,Japan,1102,56700
20009,Scott Gifts,Scott,Donald,+34 973 155 789,1589 Creek Ln,,Leicester,,HZ61 7GD,UK,1611,6500
20010,Morgan Toys,Morgan,Matthew,(251) 867-9856,4093 Pine Ct,,Nice,,70637,France,1625,174900
20011,Davis & Carter Inc.,Davis,Stephanie,+34 679 294 403,4674 Creek Loop,,Innsbruck,,69638,Austria,1188,600
20012,Ortiz & Davis Wholesale,Ortiz,Nicholas,+1 (834) 283-7868,1114 Valley Way,Ste 253,Jacksonville,CA,87992,USA,1611,76100
20013,Sunrise Supply Ltd.,Taylor,Ronald,+44 55 2127 5002,1201 Poplar Dr,,Virginia Beach,OR,23104,USA,1323,1600
20014,Hill Corp.,Hill,Stephen,+61 5 5325 9280,2547 Summit Rd,,San Antonio,WV,82512,USA,1401,59200
20015,Foster & Brooks Industries,Foster,Kevin,+44 80 1590 7049,9190 Main Ave,# 926,Milwaukee,OK,66057,USA,1504,700
20016,Mendoza & Bennett Co.,Mendoza,Anthony,+44 63 1406 3938,2533 Valley Blvd,,Mesa,NE,91351,USA,1619,47200
20017,Hughes Partners,Hughes,Tyler,+33 4 13 94 34 61,3270 Glen Ln,Rm 893,Palmerston North,,39154,New Zealand,1286,246200
20018,Global Trade Industries,Morgan,Victoria,+61 8 9379 2894,9775 Creek Ln,,Indianapolis,AZ,24208,USA,1337,20200
20019,Alpha Supply Co.,Bennett,William,+44 35 7888 7211,6692 Church Way,,Sapporo,,619-6067,Japan,1612,9000
20020,Sunrise Export Imports,Parker,Anthony,+33 4 28 13 15 41,5492 Elm Dr,,Hamilton,NB,F1K 8Y9,Canada,,40700
20021,Murphy Gifts,Murphy,Deborah,+34 625 670 355,6966 Highland Blvd,,New York,WI,23970,USA,,48200
20022,Ward Depot,Ward,Jeffrey,+49 814 825451,7374 Meadow Dr,,Lyon,,72216,France,1401,57700
20023,Hernandez & Martin Solutions,Hernandez,Anna,+1 (411) 630-7381,1053 Ridge Way,Floor 426,San Jose,VA,38043,USA,,264800
20024,Hill Shop,Hill,Amanda,+81-46-7624-3704,3614 Walnut Dr,Floor 30,Essen,,89069,Germany,1625,9200
20025,Moore Toys,Moore,Jason,+81-38-7906-5133,7450 Church Ln,,Louisville,MA,37742,USA,1625,40000
20026,Wood Inc.,Wood,Heather,(777) 423-8619,2497 Valley Blvd,,Uppsala,,12671,Sweden,1612,7700
20027,Flores Holdings,Flores,Christopher,+33 2 99 48 97 86,6150 Manor Loop,Ste 708,Nashville,OR,98781,USA,1621,54100
20028,Baker Services,Baker,Samuel,+49 660 857458,5935 Glen Loop,Apt 752,Milan,,66822,Italy,,66300
20029,Sunrise Parts Imports,Lopez,Adam,+49 599 20644,5814 Meadow Ln,Ste 719,Sheffield,Wales,AP42 3PG,UK,1401,19700
20030,Alvarez Store,Alvarez,Samuel,+61 9 9698 6632,3631 Manor Loop,# 596,Barcelona,,48566,Spain,1337,120300
20031,Premier Craft Group,Harris,Patrick,+33 5 39 56 32 48,8596 Hickory Rd,,Tucson,LA,87278,USA,1102,21000
20032,Morales Inc.,Morales,Dennis,+1 (355) 352-5978,1870 Pine Way,,Leeds,,OK24 1IP,UK,1143,32300
20033,Edwards Gallery,Edwards,Timothy,(981) 412-4457,9317 Ash St,,Tilburg,,50026,Netherlands,1216,173500
20034,Pacific Parts Trading,Stewart,Scott,+49 876 159145,6966 Park Pl,Apt 931,Quebec City,QC,Y3J 9Y3,Canada,1143,124900
20035,Diamond Sales Wholesale,Ruiz,Cynthia,+1 (983) 888-5415,424 Elm Dr,,Leeds,England,TB56 6TI,UK,1504,101900
20036,Parker Models,Parker,Justin,+49 708 429904,5261 Washington Blvd,# 508,Düsseldorf,,53687,Germany,1625,99200
20037,Smith Shop,Smith,Joyce,+49 478 933634,8168 Hollow St,Ste 135,Kansas City,MS,91609,USA,1612,48900
20038,Peterson Models,Peterson,Mary,+81-64-8736-4993,2523 Walnut Loop,# 280,San Diego,NJ,25396,USA,1370,8800
20039,Foster Boutique,Foster,Kimberly,+34 676 557 651,43 Harbor Loop,Ste 594,Jönköping,,45018,Sweden,1401,20300
20040,Kelly Gifts,Kelly,Donald,+81-52-3492-9115,5214 Birch Loop,,Tilburg,,15720,Netherlands,,165100
20041,Johnson & Evans Corp.,Johnson,Ryan,+81-43-8994-9864,6513 Elm Ln,,Indianapolis,MI,91691,USA,1102,700
20042,Ross Imports,Ross,Richard,+81-21-5000-9702,5315 Cedar Rd,,Nashville,AK,16028,USA,1337,241400
20043,Murphy & Robinson Imports,Murphy,Donald,(652) 553-5901,7623 Harbor Circle,,Canberra,SA,1153,Australia,1611,89900
